time(h),X+PHA (g/L),PHA,X(gdw/L),citrate (g/L),glucose(g/L),pyruvate(g/L),acecate(g/L)
0,0.07446502,0,0.07446502,,28,0,0
4.25,0.659884183,0.485828993,0.17405519,1.019716071,26.485075,0,0
8.25,2.027930703,1.942245862,0.085684841,0.964380217,23.5734866,0,0
13.67,4.994120654,3.449385847,1.544734807,0.954149401,19.3808672,0,0
17,7.167258145,5.350111522,1.817146623,0.9659347,9.9788191,7.722783424,0
20.67,9.512906266,6.477149176,3.03575709,0.978652063,6.9761576,7.115440027,0
24.25,8.830310252,7.295139665,1.535170587,1.187052922,1.7376385,0.611406505,0
28.67,9.829382599,8.000768822,1.828613777,1.227694687,0.3502509,0.751467925,0.215404203
36.33,11.23801256,9.064884131,2.173128424,1.183696865,0.2903129,0.266491942,0.207684234
40.67,11.31992408,9.552211275,1.767712802,1.270876171,0,0,0.075190923
45,11.39935343,9.622196332,1.777157099,1.272915453,0,0,0.006597422
50,10.996,8.1711276,2.8248724,1.263344589,0,0,0.194358097